Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery","CR2032_Holder",106.031400,-71.618800,0.000000,top
"BT1","Battery","CR2032_Holder",204.531400,-23.618800,0.000000,top
"BT1","Battery","CR2032_Holder",7.531400,-71.618800,0.000000,top
"BT1","Battery","CR2032_Holder",106.031400,-23.618800,0.000000,top
"BT1","Battery","CR2032_Holder",7.531400,-23.618800,0.000000,top
"BT1","Battery","CR2032_Holder",204.531400,-215.618800,0.000000,top
"BT1","Battery","CR2032_Holder",106.031400,-215.618800,0.000000,top
"BT1","Battery","CR2032_Holder",7.531400,-215.618800,0.000000,top
"BT1","Battery","CR2032_Holder",106.031400,-167.618800,0.000000,top
"BT1","Battery","CR2032_Holder",7.531400,-167.618800,0.000000,top
"BT1","Battery","CR2032_Holder",204.531400,-119.618800,0.000000,top
"BT1","Battery","CR2032_Holder",204.531400,-167.618800,0.000000,top
"BT1","Battery","CR2032_Holder",106.031400,-119.618800,0.000000,top
"BT1","Battery","CR2032_Holder",7.531400,-119.618800,0.000000,top
"BT1","Battery","CR2032_Holder",204.531400,-71.618800,0.000000,top
"C3","100n","C_0805_2012Metric",10.808000,-168.550000,-90.000000,top
"C3","100n","C_0805_2012Metric",207.808000,-216.550000,-90.000000,top
"C3","100n","C_0805_2012Metric",109.308000,-216.550000,-90.000000,top
"C3","100n","C_0805_2012Metric",10.808000,-216.550000,-90.000000,top
"C3","100n","C_0805_2012Metric",207.808000,-168.550000,-90.000000,top
"C3","100n","C_0805_2012Metric",109.308000,-168.550000,-90.000000,top
"C3","100n","C_0805_2012Metric",207.808000,-120.550000,-90.000000,top
"C3","100n","C_0805_2012Metric",109.308000,-120.550000,-90.000000,top
"C3","100n","C_0805_2012Metric",10.808000,-120.550000,-90.000000,top
"C3","100n","C_0805_2012Metric",207.808000,-72.550000,-90.000000,top
"C3","100n","C_0805_2012Metric",109.308000,-72.550000,-90.000000,top
"C3","100n","C_0805_2012Metric",10.808000,-72.550000,-90.000000,top
"C3","100n","C_0805_2012Metric",207.808000,-24.550000,-90.000000,top
"C3","100n","C_0805_2012Metric",109.308000,-24.550000,-90.000000,top
"C3","100n","C_0805_2012Metric",10.808000,-24.550000,-90.000000,top
"C4","10u","C_0805_2012Metric",112.600000,-120.550000,-90.000000,top
"C4","10u","C_0805_2012Metric",14.100000,-24.550000,-90.000000,top
"C4","10u","C_0805_2012Metric",112.600000,-24.550000,-90.000000,top
"C4","10u","C_0805_2012Metric",211.100000,-24.550000,-90.000000,top
"C4","10u","C_0805_2012Metric",14.100000,-72.550000,-90.000000,top
"C4","10u","C_0805_2012Metric",112.600000,-72.550000,-90.000000,top
"C4","10u","C_0805_2012Metric",211.100000,-72.550000,-90.000000,top
"C4","10u","C_0805_2012Metric",112.600000,-216.550000,-90.000000,top
"C4","10u","C_0805_2012Metric",14.100000,-120.550000,-90.000000,top
"C4","10u","C_0805_2012Metric",211.100000,-120.550000,-90.000000,top
"C4","10u","C_0805_2012Metric",14.100000,-168.550000,-90.000000,top
"C4","10u","C_0805_2012Metric",112.600000,-168.550000,-90.000000,top
"C4","10u","C_0805_2012Metric",211.100000,-168.550000,-90.000000,top
"C4","10u","C_0805_2012Metric",14.100000,-216.550000,-90.000000,top
"C4","10u","C_0805_2012Metric",211.100000,-216.550000,-90.000000,top
"D1","LED","LED_0805_2012Metric",17.500000,-204.000000,0.000000,top
"D1","LED","LED_0805_2012Metric",214.500000,-204.000000,0.000000,top
"D1","LED","LED_0805_2012Metric",17.500000,-12.000000,0.000000,top
"D1","LED","LED_0805_2012Metric",116.000000,-204.000000,0.000000,top
"D1","LED","LED_0805_2012Metric",214.500000,-156.000000,0.000000,top
"D1","LED","LED_0805_2012Metric",116.000000,-156.000000,0.000000,top
"D1","LED","LED_0805_2012Metric",17.500000,-156.000000,0.000000,top
"D1","LED","LED_0805_2012Metric",214.500000,-108.000000,0.000000,top
"D1","LED","LED_0805_2012Metric",116.000000,-108.000000,0.000000,top
"D1","LED","LED_0805_2012Metric",214.500000,-60.000000,0.000000,top
"D1","LED","LED_0805_2012Metric",17.500000,-108.000000,0.000000,top
"D1","LED","LED_0805_2012Metric",116.000000,-60.000000,0.000000,top
"D1","LED","LED_0805_2012Metric",17.500000,-60.000000,0.000000,top
"D1","LED","LED_0805_2012Metric",214.500000,-12.000000,0.000000,top
"D1","LED","LED_0805_2012Metric",116.000000,-12.000000,0.000000,top
"D2","LED","LED_0805_2012Metric",109.000000,-65.000000,-90.000000,top
"D2","LED","LED_0805_2012Metric",207.500000,-65.000000,-90.000000,top
"D2","LED","LED_0805_2012Metric",10.500000,-113.000000,-90.000000,top
"D2","LED","LED_0805_2012Metric",109.000000,-113.000000,-90.000000,top
"D2","LED","LED_0805_2012Metric",207.500000,-113.000000,-90.000000,top
"D2","LED","LED_0805_2012Metric",10.500000,-161.000000,-90.000000,top
"D2","LED","LED_0805_2012Metric",109.000000,-161.000000,-90.000000,top
"D2","LED","LED_0805_2012Metric",207.500000,-161.000000,-90.000000,top
"D2","LED","LED_0805_2012Metric",10.500000,-209.000000,-90.000000,top
"D2","LED","LED_0805_2012Metric",207.500000,-209.000000,-90.000000,top
"D2","LED","LED_0805_2012Metric",109.000000,-209.000000,-90.000000,top
"D2","LED","LED_0805_2012Metric",10.500000,-65.000000,-90.000000,top
"D2","LED","LED_0805_2012Metric",109.000000,-17.000000,-90.000000,top
"D2","LED","LED_0805_2012Metric",10.500000,-17.000000,-90.000000,top
"D2","LED","LED_0805_2012Metric",207.500000,-17.000000,-90.000000,top
"D3","LED","LED_0805_2012Metric",214.500000,-165.000000,0.000000,top
"D3","LED","LED_0805_2012Metric",214.500000,-213.000000,0.000000,top
"D3","LED","LED_0805_2012Metric",116.000000,-213.000000,0.000000,top
"D3","LED","LED_0805_2012Metric",17.500000,-213.000000,0.000000,top
"D3","LED","LED_0805_2012Metric",116.000000,-165.000000,0.000000,top
"D3","LED","LED_0805_2012Metric",17.500000,-165.000000,0.000000,top
"D3","LED","LED_0805_2012Metric",214.500000,-117.000000,0.000000,top
"D3","LED","LED_0805_2012Metric",116.000000,-117.000000,0.000000,top
"D3","LED","LED_0805_2012Metric",214.500000,-69.000000,0.000000,top
"D3","LED","LED_0805_2012Metric",116.000000,-69.000000,0.000000,top
"D3","LED","LED_0805_2012Metric",17.500000,-69.000000,0.000000,top
"D3","LED","LED_0805_2012Metric",214.500000,-21.000000,0.000000,top
"D3","LED","LED_0805_2012Metric",116.000000,-21.000000,0.000000,top
"D3","LED","LED_0805_2012Metric",17.500000,-21.000000,0.000000,top
"D3","LED","LED_0805_2012Metric",17.500000,-117.000000,0.000000,top
"D4","LED","LED_0805_2012Metric",220.500000,-26.000000,-90.000000,top
"D4","LED","LED_0805_2012Metric",23.500000,-74.000000,-90.000000,top
"D4","LED","LED_0805_2012Metric",122.000000,-74.000000,-90.000000,top
"D4","LED","LED_0805_2012Metric",220.500000,-74.000000,-90.000000,top
"D4","LED","LED_0805_2012Metric",23.500000,-122.000000,-90.000000,top
"D4","LED","LED_0805_2012Metric",122.000000,-122.000000,-90.000000,top
"D4","LED","LED_0805_2012Metric",220.500000,-122.000000,-90.000000,top
"D4","LED","LED_0805_2012Metric",23.500000,-170.000000,-90.000000,top
"D4","LED","LED_0805_2012Metric",122.000000,-170.000000,-90.000000,top
"D4","LED","LED_0805_2012Metric",220.500000,-170.000000,-90.000000,top
"D4","LED","LED_0805_2012Metric",23.500000,-218.000000,-90.000000,top
"D4","LED","LED_0805_2012Metric",220.500000,-218.000000,-90.000000,top
"D4","LED","LED_0805_2012Metric",122.000000,-218.000000,-90.000000,top
"D4","LED","LED_0805_2012Metric",23.500000,-26.000000,-90.000000,top
"D4","LED","LED_0805_2012Metric",122.000000,-26.000000,-90.000000,top
"D5","LED","LED_0805_2012Metric",17.500000,-30.000000,0.000000,top
"D5","LED","LED_0805_2012Metric",116.000000,-30.000000,0.000000,top
"D5","LED","LED_0805_2012Metric",214.500000,-30.000000,0.000000,top
"D5","LED","LED_0805_2012Metric",17.500000,-78.000000,0.000000,top
"D5","LED","LED_0805_2012Metric",116.000000,-78.000000,0.000000,top
"D5","LED","LED_0805_2012Metric",214.500000,-78.000000,0.000000,top
"D5","LED","LED_0805_2012Metric",17.500000,-126.000000,0.000000,top
"D5","LED","LED_0805_2012Metric",116.000000,-126.000000,0.000000,top
"D5","LED","LED_0805_2012Metric",214.500000,-126.000000,0.000000,top
"D5","LED","LED_0805_2012Metric",17.500000,-174.000000,0.000000,top
"D5","LED","LED_0805_2012Metric",116.000000,-174.000000,0.000000,top
"D5","LED","LED_0805_2012Metric",214.500000,-174.000000,0.000000,top
"D5","LED","LED_0805_2012Metric",17.500000,-222.000000,0.000000,top
"D5","LED","LED_0805_2012Metric",116.000000,-222.000000,0.000000,top
"D5","LED","LED_0805_2012Metric",214.500000,-222.000000,0.000000,top
"D6","LED","LED_0805_2012Metric",38.500000,-12.000000,0.000000,top
"D6","LED","LED_0805_2012Metric",137.000000,-12.000000,0.000000,top
"D6","LED","LED_0805_2012Metric",235.500000,-12.000000,0.000000,top
"D6","LED","LED_0805_2012Metric",38.500000,-108.000000,0.000000,top
"D6","LED","LED_0805_2012Metric",38.500000,-60.000000,0.000000,top
"D6","LED","LED_0805_2012Metric",137.000000,-60.000000,0.000000,top
"D6","LED","LED_0805_2012Metric",235.500000,-60.000000,0.000000,top
"D6","LED","LED_0805_2012Metric",137.000000,-108.000000,0.000000,top
"D6","LED","LED_0805_2012Metric",235.500000,-108.000000,0.000000,top
"D6","LED","LED_0805_2012Metric",38.500000,-156.000000,0.000000,top
"D6","LED","LED_0805_2012Metric",137.000000,-156.000000,0.000000,top
"D6","LED","LED_0805_2012Metric",235.500000,-156.000000,0.000000,top
"D6","LED","LED_0805_2012Metric",38.500000,-204.000000,0.000000,top
"D6","LED","LED_0805_2012Metric",137.000000,-204.000000,0.000000,top
"D6","LED","LED_0805_2012Metric",235.500000,-204.000000,0.000000,top
"D7","LED","LED_0805_2012Metric",130.000000,-209.000000,-90.000000,top
"D7","LED","LED_0805_2012Metric",31.500000,-17.000000,-90.000000,top
"D7","LED","LED_0805_2012Metric",130.000000,-17.000000,-90.000000,top
"D7","LED","LED_0805_2012Metric",228.500000,-17.000000,-90.000000,top
"D7","LED","LED_0805_2012Metric",31.500000,-65.000000,-90.000000,top
"D7","LED","LED_0805_2012Metric",130.000000,-65.000000,-90.000000,top
"D7","LED","LED_0805_2012Metric",228.500000,-65.000000,-90.000000,top
"D7","LED","LED_0805_2012Metric",31.500000,-113.000000,-90.000000,top
"D7","LED","LED_0805_2012Metric",130.000000,-113.000000,-90.000000,top
"D7","LED","LED_0805_2012Metric",228.500000,-113.000000,-90.000000,top
"D7","LED","LED_0805_2012Metric",31.500000,-161.000000,-90.000000,top
"D7","LED","LED_0805_2012Metric",130.000000,-161.000000,-90.000000,top
"D7","LED","LED_0805_2012Metric",228.500000,-161.000000,-90.000000,top
"D7","LED","LED_0805_2012Metric",31.500000,-209.000000,-90.000000,top
"D7","LED","LED_0805_2012Metric",228.500000,-209.000000,-90.000000,top
"D8","LED","LED_0805_2012Metric",235.500000,-69.000000,0.000000,top
"D8","LED","LED_0805_2012Metric",235.500000,-165.000000,0.000000,top
"D8","LED","LED_0805_2012Metric",137.000000,-21.000000,0.000000,top
"D8","LED","LED_0805_2012Metric",235.500000,-21.000000,0.000000,top
"D8","LED","LED_0805_2012Metric",38.500000,-69.000000,0.000000,top
"D8","LED","LED_0805_2012Metric",38.500000,-117.000000,0.000000,top
"D8","LED","LED_0805_2012Metric",137.000000,-117.000000,0.000000,top
"D8","LED","LED_0805_2012Metric",235.500000,-117.000000,0.000000,top
"D8","LED","LED_0805_2012Metric",38.500000,-165.000000,0.000000,top
"D8","LED","LED_0805_2012Metric",137.000000,-165.000000,0.000000,top
"D8","LED","LED_0805_2012Metric",38.500000,-21.000000,0.000000,top
"D8","LED","LED_0805_2012Metric",137.000000,-69.000000,0.000000,top
"D8","LED","LED_0805_2012Metric",235.500000,-213.000000,0.000000,top
"D8","LED","LED_0805_2012Metric",137.000000,-213.000000,0.000000,top
"D8","LED","LED_0805_2012Metric",38.500000,-213.000000,0.000000,top
"D9","LED","LED_0805_2012Metric",228.500000,-170.000000,-90.000000,top
"D9","LED","LED_0805_2012Metric",130.000000,-170.000000,-90.000000,top
"D9","LED","LED_0805_2012Metric",31.500000,-218.000000,-90.000000,top
"D9","LED","LED_0805_2012Metric",130.000000,-218.000000,-90.000000,top
"D9","LED","LED_0805_2012Metric",228.500000,-122.000000,-90.000000,top
"D9","LED","LED_0805_2012Metric",31.500000,-170.000000,-90.000000,top
"D9","LED","LED_0805_2012Metric",130.000000,-122.000000,-90.000000,top
"D9","LED","LED_0805_2012Metric",31.500000,-122.000000,-90.000000,top
"D9","LED","LED_0805_2012Metric",228.500000,-74.000000,-90.000000,top
"D9","LED","LED_0805_2012Metric",228.500000,-26.000000,-90.000000,top
"D9","LED","LED_0805_2012Metric",228.500000,-218.000000,-90.000000,top
"D9","LED","LED_0805_2012Metric",31.500000,-74.000000,-90.000000,top
"D9","LED","LED_0805_2012Metric",130.000000,-74.000000,-90.000000,top
"D9","LED","LED_0805_2012Metric",130.000000,-26.000000,-90.000000,top
"D9","LED","LED_0805_2012Metric",31.500000,-26.000000,-90.000000,top
"D10","LED","LED_0805_2012Metric",235.500000,-126.000000,0.000000,top
"D10","LED","LED_0805_2012Metric",137.000000,-126.000000,0.000000,top
"D10","LED","LED_0805_2012Metric",38.500000,-126.000000,0.000000,top
"D10","LED","LED_0805_2012Metric",235.500000,-78.000000,0.000000,top
"D10","LED","LED_0805_2012Metric",38.500000,-222.000000,0.000000,top
"D10","LED","LED_0805_2012Metric",235.500000,-174.000000,0.000000,top
"D10","LED","LED_0805_2012Metric",137.000000,-78.000000,0.000000,top
"D10","LED","LED_0805_2012Metric",38.500000,-78.000000,0.000000,top
"D10","LED","LED_0805_2012Metric",38.500000,-174.000000,0.000000,top
"D10","LED","LED_0805_2012Metric",38.500000,-30.000000,0.000000,top
"D10","LED","LED_0805_2012Metric",137.000000,-30.000000,0.000000,top
"D10","LED","LED_0805_2012Metric",235.500000,-30.000000,0.000000,top
"D10","LED","LED_0805_2012Metric",137.000000,-222.000000,0.000000,top
"D10","LED","LED_0805_2012Metric",235.500000,-222.000000,0.000000,top
"D10","LED","LED_0805_2012Metric",137.000000,-174.000000,0.000000,top
"D11","LED","LED_0805_2012Metric",115.000000,-227.000000,0.000000,top
"D11","LED","LED_0805_2012Metric",213.500000,-35.000000,0.000000,top
"D11","LED","LED_0805_2012Metric",213.500000,-227.000000,0.000000,top
"D11","LED","LED_0805_2012Metric",16.500000,-35.000000,0.000000,top
"D11","LED","LED_0805_2012Metric",115.000000,-35.000000,0.000000,top
"D11","LED","LED_0805_2012Metric",16.500000,-83.000000,0.000000,top
"D11","LED","LED_0805_2012Metric",115.000000,-83.000000,0.000000,top
"D11","LED","LED_0805_2012Metric",213.500000,-83.000000,0.000000,top
"D11","LED","LED_0805_2012Metric",16.500000,-131.000000,0.000000,top
"D11","LED","LED_0805_2012Metric",115.000000,-131.000000,0.000000,top
"D11","LED","LED_0805_2012Metric",16.500000,-227.000000,0.000000,top
"D11","LED","LED_0805_2012Metric",213.500000,-179.000000,0.000000,top
"D11","LED","LED_0805_2012Metric",115.000000,-179.000000,0.000000,top
"D11","LED","LED_0805_2012Metric",16.500000,-179.000000,0.000000,top
"D11","LED","LED_0805_2012Metric",213.500000,-131.000000,0.000000,top
"D12","LED","LED_0805_2012Metric",159.092000,-77.410000,-90.000000,top
"D12","LED","LED_0805_2012Metric",257.592000,-125.410000,-90.000000,top
"D12","LED","LED_0805_2012Metric",60.592000,-173.410000,-90.000000,top
"D12","LED","LED_0805_2012Metric",159.092000,-173.410000,-90.000000,top
"D12","LED","LED_0805_2012Metric",60.592000,-29.410000,-90.000000,top
"D12","LED","LED_0805_2012Metric",257.592000,-173.410000,-90.000000,top
"D12","LED","LED_0805_2012Metric",159.092000,-29.410000,-90.000000,top
"D12","LED","LED_0805_2012Metric",257.592000,-29.410000,-90.000000,top
"D12","LED","LED_0805_2012Metric",60.592000,-77.410000,-90.000000,top
"D12","LED","LED_0805_2012Metric",159.092000,-125.410000,-90.000000,top
"D12","LED","LED_0805_2012Metric",257.592000,-221.410000,-90.000000,top
"D12","LED","LED_0805_2012Metric",159.092000,-221.410000,-90.000000,top
"D12","LED","LED_0805_2012Metric",60.592000,-221.410000,-90.000000,top
"D12","LED","LED_0805_2012Metric",257.592000,-77.410000,-90.000000,top
"D12","LED","LED_0805_2012Metric",60.592000,-125.410000,-90.000000,top
"D13","LED","LED_0805_2012Metric",231.500000,-83.000000,180.000000,top
"D13","LED","LED_0805_2012Metric",34.500000,-83.000000,180.000000,top
"D13","LED","LED_0805_2012Metric",231.500000,-35.000000,180.000000,top
"D13","LED","LED_0805_2012Metric",231.500000,-227.000000,180.000000,top
"D13","LED","LED_0805_2012Metric",133.000000,-227.000000,180.000000,top
"D13","LED","LED_0805_2012Metric",34.500000,-227.000000,180.000000,top
"D13","LED","LED_0805_2012Metric",133.000000,-35.000000,180.000000,top
"D13","LED","LED_0805_2012Metric",34.500000,-35.000000,180.000000,top
"D13","LED","LED_0805_2012Metric",231.500000,-179.000000,180.000000,top
"D13","LED","LED_0805_2012Metric",133.000000,-179.000000,180.000000,top
"D13","LED","LED_0805_2012Metric",133.000000,-83.000000,180.000000,top
"D13","LED","LED_0805_2012Metric",34.500000,-179.000000,180.000000,top
"D13","LED","LED_0805_2012Metric",231.500000,-131.000000,180.000000,top
"D13","LED","LED_0805_2012Metric",133.000000,-131.000000,180.000000,top
"D13","LED","LED_0805_2012Metric",34.500000,-131.000000,180.000000,top
"D14","LED","LED_0805_2012Metric",151.000000,-179.000000,0.000000,top
"D14","LED","LED_0805_2012Metric",151.000000,-83.000000,0.000000,top
"D14","LED","LED_0805_2012Metric",249.500000,-83.000000,0.000000,top
"D14","LED","LED_0805_2012Metric",249.500000,-227.000000,0.000000,top
"D14","LED","LED_0805_2012Metric",151.000000,-227.000000,0.000000,top
"D14","LED","LED_0805_2012Metric",52.500000,-131.000000,0.000000,top
"D14","LED","LED_0805_2012Metric",151.000000,-131.000000,0.000000,top
"D14","LED","LED_0805_2012Metric",52.500000,-227.000000,0.000000,top
"D14","LED","LED_0805_2012Metric",249.500000,-131.000000,0.000000,top
"D14","LED","LED_0805_2012Metric",52.500000,-35.000000,0.000000,top
"D14","LED","LED_0805_2012Metric",151.000000,-35.000000,0.000000,top
"D14","LED","LED_0805_2012Metric",249.500000,-35.000000,0.000000,top
"D14","LED","LED_0805_2012Metric",52.500000,-83.000000,0.000000,top
"D14","LED","LED_0805_2012Metric",249.500000,-179.000000,0.000000,top
"D14","LED","LED_0805_2012Metric",52.500000,-179.000000,0.000000,top
"D15","LED","LED_0805_2012Metric",257.592000,-201.090000,0.000000,top
"D15","LED","LED_0805_2012Metric",159.092000,-9.090000,0.000000,top
"D15","LED","LED_0805_2012Metric",60.592000,-9.090000,0.000000,top
"D15","LED","LED_0805_2012Metric",60.592000,-201.090000,0.000000,top
"D15","LED","LED_0805_2012Metric",257.592000,-153.090000,0.000000,top
"D15","LED","LED_0805_2012Metric",159.092000,-201.090000,0.000000,top
"D15","LED","LED_0805_2012Metric",257.592000,-9.090000,0.000000,top
"D15","LED","LED_0805_2012Metric",60.592000,-57.090000,0.000000,top
"D15","LED","LED_0805_2012Metric",159.092000,-57.090000,0.000000,top
"D15","LED","LED_0805_2012Metric",257.592000,-57.090000,0.000000,top
"D15","LED","LED_0805_2012Metric",60.592000,-105.090000,0.000000,top
"D15","LED","LED_0805_2012Metric",159.092000,-105.090000,0.000000,top
"D15","LED","LED_0805_2012Metric",257.592000,-105.090000,0.000000,top
"D15","LED","LED_0805_2012Metric",60.592000,-153.090000,0.000000,top
"D15","LED","LED_0805_2012Metric",159.092000,-153.090000,0.000000,top
"D17","LED","LED_0805_2012Metric",268.768000,-82.998000,0.000000,top
"D17","LED","LED_0805_2012Metric",71.768000,-130.998000,0.000000,top
"D17","LED","LED_0805_2012Metric",170.268000,-130.998000,0.000000,top
