Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,100n,C_0805_2012Metric,207.808,-216.55,-90,top
C3,100n,C_0805_2012Metric,10.808,-24.55,-90,top
C3,100n,C_0805_2012Metric,109.308,-24.55,-90,top
C3,100n,C_0805_2012Metric,207.808,-24.55,-90,top
C3,100n,C_0805_2012Metric,10.808,-72.55,-90,top
C3,100n,C_0805_2012Metric,109.308,-72.55,-90,top
C3,100n,C_0805_2012Metric,207.808,-72.55,-90,top
C3,100n,C_0805_2012Metric,10.808,-120.55,-90,top
C3,100n,C_0805_2012Metric,207.808,-120.55,-90,top
C3,100n,C_0805_2012Metric,10.808,-168.55,-90,top
C3,100n,C_0805_2012Metric,109.308,-168.55,-90,top
C3,100n,C_0805_2012Metric,207.808,-168.55,-90,top
C3,100n,C_0805_2012Metric,10.808,-216.55,-90,top
C3,100n,C_0805_2012Metric,109.308,-216.55,-90,top
C3,100n,C_0805_2012Metric,109.308,-120.55,-90,top
C4,10u,C_0805_2012Metric,14.1,-216.55,-90,top
C4,10u,C_0805_2012Metric,211.1,-168.55,-90,top
C4,10u,C_0805_2012Metric,112.6,-168.55,-90,top
C4,10u,C_0805_2012Metric,14.1,-168.55,-90,top
C4,10u,C_0805_2012Metric,211.1,-120.55,-90,top
C4,10u,C_0805_2012Metric,112.6,-120.55,-90,top
C4,10u,C_0805_2012Metric,14.1,-120.55,-90,top
C4,10u,C_0805_2012Metric,112.6,-216.55,-90,top
C4,10u,C_0805_2012Metric,211.1,-72.55,-90,top
C4,10u,C_0805_2012Metric,112.6,-72.55,-90,top
C4,10u,C_0805_2012Metric,14.1,-72.55,-90,top
C4,10u,C_0805_2012Metric,211.1,-24.55,-90,top
C4,10u,C_0805_2012Metric,112.6,-24.55,-90,top
C4,10u,C_0805_2012Metric,14.1,-24.55,-90,top
C4,10u,C_0805_2012Metric,211.1,-216.55,-90,top
D1,LED,LED_0805_2012Metric,214.5,-156,0,top
D1,LED,LED_0805_2012Metric,214.5,-204,0,top
D1,LED,LED_0805_2012Metric,116,-204,0,top
D1,LED,LED_0805_2012Metric,17.5,-204,0,top
D1,LED,LED_0805_2012Metric,116,-156,0,top
D1,LED,LED_0805_2012Metric,17.5,-156,0,top
D1,LED,LED_0805_2012Metric,214.5,-108,0,top
D1,LED,LED_0805_2012Metric,116,-108,0,top
D1,LED,LED_0805_2012Metric,17.5,-108,0,top
D1,LED,LED_0805_2012Metric,214.5,-60,0,top
D1,LED,LED_0805_2012Metric,116,-60,0,top
D1,LED,LED_0805_2012Metric,17.5,-60,0,top
D1,LED,LED_0805_2012Metric,214.5,-12,0,top
D1,LED,LED_0805_2012Metric,116,-12,0,top
D1,LED,LED_0805_2012Metric,17.5,-12,0,top
D2,LED,LED_0805_2012Metric,10.5,-17,-90,top
D2,LED,LED_0805_2012Metric,109,-17,-90,top
D2,LED,LED_0805_2012Metric,207.5,-17,-90,top
D2,LED,LED_0805_2012Metric,10.5,-65,-90,top
D2,LED,LED_0805_2012Metric,109,-65,-90,top
D2,LED,LED_0805_2012Metric,207.5,-65,-90,top
D2,LED,LED_0805_2012Metric,10.5,-113,-90,top
D2,LED,LED_0805_2012Metric,109,-113,-90,top
D2,LED,LED_0805_2012Metric,207.5,-113,-90,top
D2,LED,LED_0805_2012Metric,10.5,-161,-90,top
D2,LED,LED_0805_2012Metric,109,-161,-90,top
D2,LED,LED_0805_2012Metric,207.5,-161,-90,top
D2,LED,LED_0805_2012Metric,10.5,-209,-90,top
D2,LED,LED_0805_2012Metric,109,-209,-90,top
D2,LED,LED_0805_2012Metric,207.5,-209,-90,top
D3,LED,LED_0805_2012Metric,214.5,-213,0,top
D3,LED,LED_0805_2012Metric,116,-213,0,top
D3,LED,LED_0805_2012Metric,17.5,-213,0,top
D3,LED,LED_0805_2012Metric,214.5,-165,0,top
D3,LED,LED_0805_2012Metric,116,-165,0,top
D3,LED,LED_0805_2012Metric,17.5,-165,0,top
D3,LED,LED_0805_2012Metric,214.5,-117,0,top
D3,LED,LED_0805_2012Metric,116,-117,0,top
D3,LED,LED_0805_2012Metric,17.5,-117,0,top
D3,LED,LED_0805_2012Metric,214.5,-69,0,top
D3,LED,LED_0805_2012Metric,116,-69,0,top
D3,LED,LED_0805_2012Metric,17.5,-69,0,top
D3,LED,LED_0805_2012Metric,214.5,-21,0,top
D3,LED,LED_0805_2012Metric,116,-21,0,top
D3,LED,LED_0805_2012Metric,17.5,-21,0,top
D4,LED,LED_0805_2012Metric,122,-218,-90,top
D4,LED,LED_0805_2012Metric,220.5,-218,-90,top
D4,LED,LED_0805_2012Metric,23.5,-26,-90,top
D4,LED,LED_0805_2012Metric,122,-26,-90,top
D4,LED,LED_0805_2012Metric,220.5,-26,-90,top
D4,LED,LED_0805_2012Metric,23.5,-74,-90,top
D4,LED,LED_0805_2012Metric,122,-74,-90,top
D4,LED,LED_0805_2012Metric,220.5,-74,-90,top
D4,LED,LED_0805_2012Metric,23.5,-122,-90,top
D4,LED,LED_0805_2012Metric,122,-122,-90,top
D4,LED,LED_0805_2012Metric,220.5,-122,-90,top
D4,LED,LED_0805_2012Metric,23.5,-170,-90,top
D4,LED,LED_0805_2012Metric,122,-170,-90,top
D4,LED,LED_0805_2012Metric,220.5,-170,-90,top
D4,LED,LED_0805_2012Metric,23.5,-218,-90,top
D5,LED,LED_0805_2012Metric,17.5,-30,0,top
D5,LED,LED_0805_2012Metric,116,-30,0,top
D5,LED,LED_0805_2012Metric,214.5,-30,0,top
D5,LED,LED_0805_2012Metric,17.5,-78,0,top
D5,LED,LED_0805_2012Metric,116,-78,0,top
D5,LED,LED_0805_2012Metric,214.5,-78,0,top
D5,LED,LED_0805_2012Metric,17.5,-126,0,top
D5,LED,LED_0805_2012Metric,116,-126,0,top
D5,LED,LED_0805_2012Metric,214.5,-126,0,top
D5,LED,LED_0805_2012Metric,17.5,-174,0,top
D5,LED,LED_0805_2012Metric,116,-174,0,top
D5,LED,LED_0805_2012Metric,214.5,-174,0,top
D5,LED,LED_0805_2012Metric,17.5,-222,0,top
D5,LED,LED_0805_2012Metric,116,-222,0,top
D5,LED,LED_0805_2012Metric,214.5,-222,0,top
D6,LED,LED_0805_2012Metric,38.5,-204,0,top
D6,LED,LED_0805_2012Metric,137,-204,0,top
D6,LED,LED_0805_2012Metric,38.5,-12,0,top
D6,LED,LED_0805_2012Metric,235.5,-204,0,top
D6,LED,LED_0805_2012Metric,235.5,-156,0,top
D6,LED,LED_0805_2012Metric,137,-156,0,top
D6,LED,LED_0805_2012Metric,38.5,-156,0,top
D6,LED,LED_0805_2012Metric,235.5,-108,0,top
D6,LED,LED_0805_2012Metric,137,-108,0,top
