Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery","CR2032_Holder",208.231400,-233.618800,0.000000,top
"BT1","Battery","CR2032_Holder",8.231400,-181.618800,0.000000,top
"BT1","Battery","CR2032_Holder",108.231400,-181.618800,0.000000,top
"BT1","Battery","CR2032_Holder",208.231400,-181.618800,0.000000,top
"BT1","Battery","CR2032_Holder",8.231400,-233.618800,0.000000,top
"BT1","Battery","CR2032_Holder",108.231400,-233.618800,0.000000,top
"BT1","Battery","CR2032_Holder",208.231400,-129.618800,0.000000,top
"BT1","Battery","CR2032_Holder",108.231400,-129.618800,0.000000,top
"BT1","Battery","CR2032_Holder",8.231400,-129.618800,0.000000,top
"BT1","Battery","CR2032_Holder",208.231400,-77.618800,0.000000,top
"BT1","Battery","CR2032_Holder",108.231400,-77.618800,0.000000,top
"BT1","Battery","CR2032_Holder",8.231400,-77.618800,0.000000,top
"BT1","Battery","CR2032_Holder",208.231400,-25.618800,0.000000,top
"BT1","Battery","CR2032_Holder",108.231400,-25.618800,0.000000,top
"BT1","Battery","CR2032_Holder",8.231400,-25.618800,0.000000,top
"C3","C","C_0805_2012Metric",11.508000,-26.550000,-90.000000,top
"C3","C","C_0805_2012Metric",111.508000,-26.550000,-90.000000,top
"C3","C","C_0805_2012Metric",211.508000,-26.550000,-90.000000,top
"C3","C","C_0805_2012Metric",11.508000,-182.550000,-90.000000,top
"C3","C","C_0805_2012Metric",11.508000,-78.550000,-90.000000,top
"C3","C","C_0805_2012Metric",111.508000,-78.550000,-90.000000,top
"C3","C","C_0805_2012Metric",211.508000,-78.550000,-90.000000,top
"C3","C","C_0805_2012Metric",11.508000,-130.550000,-90.000000,top
"C3","C","C_0805_2012Metric",111.508000,-130.550000,-90.000000,top
"C3","C","C_0805_2012Metric",211.508000,-130.550000,-90.000000,top
"C3","C","C_0805_2012Metric",111.508000,-182.550000,-90.000000,top
"C3","C","C_0805_2012Metric",211.508000,-182.550000,-90.000000,top
"C3","C","C_0805_2012Metric",11.508000,-234.550000,-90.000000,top
"C3","C","C_0805_2012Metric",111.508000,-234.550000,-90.000000,top
"C3","C","C_0805_2012Metric",211.508000,-234.550000,-90.000000,top
"C4","C","C_0805_2012Metric",114.800000,-182.550000,-90.000000,top
"C4","C","C_0805_2012Metric",214.800000,-130.550000,-90.000000,top
"C4","C","C_0805_2012Metric",14.800000,-182.550000,-90.000000,top
"C4","C","C_0805_2012Metric",14.800000,-26.550000,-90.000000,top
"C4","C","C_0805_2012Metric",214.800000,-182.550000,-90.000000,top
"C4","C","C_0805_2012Metric",14.800000,-234.550000,-90.000000,top
"C4","C","C_0805_2012Metric",114.800000,-234.550000,-90.000000,top
"C4","C","C_0805_2012Metric",214.800000,-234.550000,-90.000000,top
